iter	RMSE
0	1069.03413
1	1022.101035
2	996.1230296
3	947.5857566
4	922.3196799
5	910.7072846
6	899.0464155
7	865.5283261
8	847.3056695
9	837.5499889
10	829.7010434
11	807.7780837
12	803.4948981
13	783.5132153
14	780.4755276
15	768.8767484
16	766.6270276
17	763.010295
18	760.709316
19	759.3529955
20	754.1891459
21	754.1891344
22	752.8008611
23	750.2597699
24	750.2590061
25	746.3693904
26	743.8792952
27	742.3911576
28	741.0628842
29	740.3396411
30	740.339636
31	736.4840437
32	729.650855
33	729.0315809
34	728.6880146
35	728.5072609
36	728.5041353
37	728.3487977
38	726.1848752
39	724.9871336
40	724.8501292
41	724.8501288
42	724.8493812
43	724.8493808
44	724.4709911
45	724.4601633
46	723.1724056
47	722.8670436
48	722.8299571
49	722.6549459
50	722.6515222
51	722.6447484
52	720.4911069
53	718.534342
54	718.1991065
55	716.9883927
56	715.8913225
57	713.0523812
58	712.9923314
59	712.9552553
60	712.9512837
61	712.9165874
62	712.8875817
63	712.283408
64	712.2828355
65	712.2828326
66	710.5279414
67	710.0899496
68	709.6564329
69	709.3523426
70	709.3521068
71	709.3320275
72	708.3723372
73	708.3723245
74	708.1635927
75	707.7213307
76	706.8306027
77	705.8776908
78	705.8776877
79	705.8479279
80	705.847926
81	705.8479245
82	705.837225
83	703.4897908
84	703.3669915
85	703.1066038
86	703.0274689
87	703.0095996
88	702.4676427
89	700.3378187
90	700.1758047
91	700.1758031
92	700.1710918
93	699.9641022
94	699.935918
95	699.6510424
96	699.6492346
97	699.6492285
98	699.0711656
99	696.6951025
100	696.6950965
101	696.6625813
102	691.6460339
103	691.6460318
104	691.61405
105	691.0689979
106	690.6574477
107	685.3790052
108	683.0724081
109	681.7341584
110	678.0577138
111	673.5988942
112	671.9761416
113	668.3003666
114	668.3003661
115	665.5428393
116	662.6157504
117	662.489753
118	660.1379168
119	659.2047097
120	658.4012304
121	653.7185607
122	647.9763085
123	645.2614395
124	642.3568345
125	640.0109833
126	634.5058268
127	632.6445015
128	627.6145194
129	623.6997274
130	622.4435776
131	618.6717782
132	616.0400359
133	612.1004143
134	609.4988579
135	608.7985337
136	606.278882
137	600.7536315
138	599.2318885
139	595.5838919
140	592.7373215
141	589.1679972
142	585.8288348
143	582.7979933
144	582.76226
145	582.7309195
146	580.9973252
147	578.1371045
148	578.1015864
149	574.9885596
150	573.0883575
151	570.6360399
152	570.5957287
153	570.4366419
154	570.3939994
155	570.3446215
156	570.3080482
157	568.3656062
158	565.7114434
159	565.6973764
160	564.1930007
161	561.9012496
162	560.1843375
