iter	Passed	Remaining
0	30	513335
1	1031	8800606
2	1911	10874160
3	2708	11550887
4	3640	12421132
5	3650	10380390
6	3684	8979036
7	4124	8794255
8	4143	7851632
9	5152	8788114
10	5464	8471838
11	5594	7950135
12	5892	7729247
13	5994	7301126
14	6025	6848646
15	6063	6461485
16	6094	6111333
17	6242	5912115
18	7329	6575298
19	8401	7160227
20	8484	6886509
21	8497	6582638
22	8573	6352342
23	8588	6097996
24	8661	5903377
25	8703	5703711
26	9453	5965810
27	10296	6264900
28	11212	6586537
29	11959	6790935
30	11968	6576484
31	12809	6818364
32	13674	7057609
33	13733	6879301
34	13781	6705641
35	13811	6533120
36	13828	6364102
37	13862	6211544
38	14715	6424063
39	15561	6623565
40	15595	6475684
41	15606	6325332
42	15622	6184172
43	15635	6048432
44	15660	5923225
45	15676	5800109
46	16437	5951663
47	17290	6129849
48	17327	6017266
49	17379	5914238
50	17391	5802058
51	17409	5695822
52	17457	5603580
53	18283	5759495
54	18332	5669701
55	19115	5806007
56	19157	5716389
57	19326	5666916
58	19396	5590847
59	19408	5500738
60	19427	5415630
61	19457	5336198
62	19494	5260935
63	19524	5186623
64	19592	5124211
65	19600	5048406
66	19620	4977674
67	20298	5073752
68	20324	5006238
69	21042	5108935
70	21063	5041562
71	21078	4974816
72	22118	5148407
73	22131	5081481
74	22595	5118533
75	23092	5162100
76	24247	5349558
77	25160	5479565
78	25169	5411742
79	25201	5350569
80	25215	5287219
81	25224	5224250
82	25247	5165769
83	25447	5144349
84	25597	5113532
85	26288	5190209
86	26468	5165382
87	26585	5128981
88	26881	5127438
89	26949	5082970
90	27004	5037144
91	27013	4983690
92	27027	4932369
93	28185	5088709
94	28476	5086728
95	28881	5105039
96	28903	5055969
97	28912	5005670
98	28988	4967840
99	29844	5063089
100	29853	5014199
101	30156	5015130
102	30244	4980733
103	30254	4934051
104	30277	4890564
105	30298	4847418
106	30419	4821118
107	30464	4783186
108	31568	4910843
109	32615	5027179
110	33560	5125993
111	34426	5211012
112	34563	5185114
113	34627	5148803
114	34687	5112595
115	34731	5074748
116	34786	5038931
117	34823	5001351
118	34892	4968758
119	35942	5075354
120	36389	5095761
121	37112	5154122
122	37834	5211280
123	38457	5254044
124	39255	5319946
125	39982	5375159
126	40700	5428199
